age,male,time_seconds,year
27,1,10435,2015
45,1,10438,2015
25,1,10439,2015
30,1,10440,2015
31,1,10442,2015
32,1,10442,2015
51,1,10444,2015
27,1,10445,2015
32,1,10448,2015
22,1,10449,2015
37,1,10451,2015
39,1,10451,2015
45,1,10454,2015
29,1,10455,2015
31,1,10456,2015
44,1,10456,2015
43,1,10457,2015
47,1,10457,2015
41,1,10458,2015
38,1,10458,2015
43,1,10460,2015
29,1,10460,2015
25,1,10461,2015
28,1,10463,2015
36,1,10464,2015
24,0,10464,2015
65,1,10465,2015
27,1,10467,2015
34,1,10470,2015
28,0,10471,2015
35,1,10473,2015
23,1,10473,2015
30,1,10473,2015
43,1,10474,2015
30,1,10475,2015
31,1,10476,2015
48,1,10478,2015
40,1,10479,2015
35,1,10480,2015
32,1,10484,2015
42,1,10489,2015
29,1,10489,2015
38,1,10490,2015
24,1,10490,2015
29,1,10490,2015
46,1,10491,2015
25,1,10492,2015
35,0,10493,2015
29,0,10496,2015
36,1,10498,2015
45,1,10498,2015
44,1,10500,2015
44,1,10500,2015
40,1,10501,2015
41,1,10503,2015
35,1,10504,2015
42,1,10505,2015
45,1,10505,2015
40,1,10506,2015
38,1,10510,2015
38,1,10513,2015
44,1,10514,2015
35,1,10514,2015
30,1,10517,2015
39,1,10520,2015
23,1,10522,2015
55,1,10523,2015
30,1,10526,2015
40,1,10526,2015
34,0,10527,2015
35,1,10527,2015
37,1,10527,2015
35,1,10535,2015
43,1,10536,2015
44,1,10537,2015
27,1,10537,2015
35,1,10538,2015
29,1,10540,2015
28,1,10542,2015
27,1,10542,2015
41,1,10544,2015
38,1,10544,2015
33,1,10545,2015
43,1,10546,2015
37,1,10547,2015
36,1,10550,2015
31,1,10551,2015
31,1,10551,2015
37,1,10552,2015
25,1,10553,2015
36,1,10553,2015
58,1,10554,2015
33,1,10555,2015
27,1,10556,2015
30,1,10557,2015
25,1,10561,2015
39,1,10565,2015
48,1,10567,2015
54,1,10567,2015
53,1,10568,2015
44,1,10569,2015
37,1,10570,2015
41,1,10572,2015
43,0,10573,2015
27,1,10574,2015
45,1,10574,2015
37,1,10575,2015
33,0,10575,2015
42,1,10576,2015
30,1,10576,2015
41,1,10577,2015
42,0,10579,2015
42,1,10580,2015
51,1,10580,2015
50,1,10580,2015
48,1,10580,2015
32,1,10581,2015
29,1,10583,2015
27,0,10585,2015
41,1,10587,2015
36,1,10588,2015
41,0,10589,2015
40,1,10590,2015
44,1,10592,2015
46,1,10592,2015
48,1,10593,2015
34,1,10594,2015
41,1,10594,2015
31,1,10594,2015
49,1,10595,2015
49,0,10595,2015
35,1,10598,2015
47,1,10604,2015
43,1,10605,2015
34,1,10610,2015
50,1,10611,2015
34,1,10611,2015
33,1,10612,2015
45,0,10614,2015
40,1,10614,2015
33,1,10614,2015
